Number,PoC
5449123555197505378058441356972693,0
711716906263193137340031499195596,0
5482164539353164870277125696751396,0
6170749639987212205746602741467659,0
5567567274812098078983444078673548,0
9614603611764027651376969626635944,0
1704598396657487067374138141540615,0
7895184248314238235097005338929062,0
1005074062604165176639071774707229,0
7413663267101690260660124723505897,0
2445091263199663811899946052954465,0
1568941969675297363971558462613879,0
6032912178376070738392093537743982,0
1522687848649069164660130380130792,0
994842298005911889634364861391322,0
544339402266110207121771402778352,0
5828323910072303870300161098869411,0
5969038063261856330192820784497704,0
9910460412686218885157646372818234,0
5490040494874890776163620948622189,0
2584003595181401649832841997932103,0
9750108716885443766613571767187172,0
2636335889025801464258149332835443,0
2072303067672632801104619755422911,1
3209818349426316732158746016319317,0
9266638649653454349196479948022560,0
6061151872491288304460411330695802,0
5000182356663227600732338767554734,0
7350832961367731365274907495235347,0
2969341226927244394387792167844952,0
9946588379944435314368940066487232,0
1961983862390368729477386282679033,0
3112707362767854935636710746488839,0
3247907632883489358560919142546250,0
7414901353386552798040206044236350,0
5820505232358293356262504936110593,0
8049803949085253558145917837125144,0
5885476914449100872577936438901066,0
3428609662335461443211876794797176,0
3110661422141282847119986409633108,0
2825864589285173518427888977086231,0
7173237512922108072989593742267281,0
6903071100863944394325758322189150,0
8632004243515731895442527324517242,0
5884595662286134759102932096829279,0
3559218343119613326808617818811702,0
5826195506674804122436571899218449,0
1778609098029994154070900586491676,0
9952146907978487633430493069709732,0
963377149252555271365746441174300,0
8400827987446055379281547497456773,0
915331558095337316206409485332905,0
7154656654877833783364572314862506,0
9818628274930205947814823271782769,0
5095983087867935890942188601920875,0
308802542059829833690925859303388,0
6405616342207268089142940319037767,0
7408410219101164167564505943410847,0
5233686691871363691764199441893599,0
9958412131595801224237828241951648,0
844774436861068447289947381924037,0
5706503397955628015302315511979895,0
7704667255942862325334177966356247,0
9030401017477678515277242216853359,0
6107951032709624281704569188072521,0
2349741264741629419908811384845817,0
7473563199064557990477093945862714,0
5836096270681388315752348954968902,0
2585323487608389006878051165226888,0
9173518876671453433195293866122715,0
7853816164694473608528100824629323,0
3007344378414904914343112124199105,0
7106033840326541192051452088471342,0
2795588527319305759589915183849619,0
873394669604095868029164183346029,0
9889030259165655371941406387831969,0
6397471842361497984213698247023096,0
4278594052465758494144454416262083,0
9263000661555860148224836627829041,0
7015397849516635102307964777896888,0
7779309505624493884666783291581617,0
