Number,PoC
7763697391501993669961159049,0
66994948960744971946320322037,1
44627915042294881466847272397,0
7588727909471376957431393221,1
71736786870045660568967453672,0
46556330586755232322927326469,1
79402109902822693681224199046,0
30406219680605114575194398723,1
25020252675031175973369329541,0
1941809401601245314225061573,1
67626138516798663013299428908,0
36542245543803815718962235779,1
86222419255964806374980188420,0
48056777704887005621641209563,1
87868265704497419634694755914,0
12728737854594627277746071627,1
41896245120877474672571427230,0
25324860109298209294505414353,1
65318813439951064683457766091,0
45155572410139195229392936673,1
49328201085406108344984017148,0
11940812332452094352397529769,1
34176945724942260525561410033,0
79274730745253879386390059853,1
3175826598730341261164065924,0
49110888741245527540671066967,1
83950513707179952405535720843,0
97294952464338081047596997857,1
53287161771759079526470266988,0
49475692010864338275529761439,1
39826576265319471746481882090,0
60938815310932833028934969947,1
44874811045016648504337473901,0
18661231496968045718440969013,1
88400328958545024060967163491,0
99876679366640387453552375203,1
26022794770489288235041068740,0
31201744300022745424385238173,1
86426559301555287701676055573,0
67401175049948366705522519891,1
16537342253505101137597793894,0
61671612893718775959539393539,1
17979892343876224702606167174,0
59984260744856497438247732837,1
5779495830760898975828667779,0
5646778763238223724145047669,1
3485245541963018134295406777,0
28973047405238861732617969129,1
95540231916551028317867946354,0
81004252486290159458580262207,1
40910389925609851334787379237,0
50286918502002993671840067931,1
31154085177789231451008367954,0
98096745970226970913487798623,1
12068298654586399843492254111,0
64462054246489597167799041463,1
89395960767629896705394911611,0
1693027808045957030915797843,1
91347600096013908997374475497,0
4114976693074830066074116129,1
71039965630969392661304151344,0
92922799597489996273527675017,1
53417798271883895337488649051,0
45716124554447023343777732333,1
20996722865091981614663607166,0
70253663865286702643401978007,1
84043409571095259568791674661,0
55440756663991397395306934383,1
50191287839263093107775573117,0
1502783063616843732421167343,1
41371141935917495971583696238,0
94730577319595069128886044037,1
89865290339126611543149862800,0
94459183360640127787482401119,1
50729943473528972762498739745,0
87376468945825533813836945543,1
39709119762981793985445893198,0
28329060920509647095082257009,1
75446733502264997218887042365,0
49886694021042199715456909551,1
57701301944894726869950717425,0
33197798635822998354105180569,1
30674898712892722243946139799,0
23637305118451187079356106281,1
79113202974709432506580297614,0
29503445756753643455665111427,1
60081220153535748660903987240,0
64632129108309265047118348847,1
48141341701934077955306835936,0
7497087757505330993044660229,1
81112651634325496284797459554,0
89222029732058111387348874061,1
62391437729379659789421066085,0
36914343143952728146799505121,1
13778093026438900505255697773,0
24327943248812332342900469119,1
3583490543349717508254234212,0
74837675248425584977430375873,1
73718782580814508438630979637,0
66412479447199736881373430421,1
3032746237504294702164830598,0
61920589885108639358131318867,1
60984798212389240853123739151,0
9276732310063786961192320889,1
59122666409954216684926994149,0
97670123917286852568382150421,1
28155863093950244383724543928,0
62989701138738222518128269359,1
2113610330381432700451415431,0
4125957517582674712429420151,1
48611785645240559478763710352,0
25142927351163635007276028223,1
7492897264568120304569566763,0
52114549734223827939768637453,1
40631272734977885265556015960,0
84192830559135356388326238227,1
64443972146229551462776957616,0
98709788276869144823778402847,1
80549214294157561334083038256,0
94477644842970096349498175359,1
94188336836068873250248692340,0
26194341706040594026613207063,1
96031140889060625703608183805,0
66053630424459706168071674231,1
81321637350392328152008100583,0
93438524413905801272332404943,1
81257953573520316172118860726,0
48984443258137151748169831963,1
81857922005095561583676189508,0
71303825029104978099341553487,1
61182949617995440384284561490,0
47921645527698817984766846051,1
98012010371422825269647934316,0
17605476503035565680162148087,1
55207334433362470924581834370,0
25880771801322746600502310439,1
55717786614305757138158223227,0
25194719354441626347458760581,1
68573684717371614568493101556,0
49026745058689578483292026473,1
3626370157866107893910531160,0
21148023485845018300869480739,1
31545531961205821359927286412,0
54870989874686575272710317483,1
97040450502629026555185186289,0
1777082201239537324919987639,1
37854264761726857370807857045,0
27084403675408847240760715013,1
23162678275800614283140675180,0
61506466913144984947383915523,1
68165763513793194191835804264,0
11922942779870817097189282957,1
7730940990084299319897287318,0
94233447103771242998109148573,1
47303728139332517655686188312,0
73090401117192488968438559713,1
64206036636015117679989375965,0
24949913934157316104739859977,1
47736519446858828304801807163,0
56473913052825830495947444681,1
77818614397701026359184428059,0
33614450682238378927609237259,1
40568640037983525692086689776,0
19854109443155227792029510343,1
20594124002169707935828522628,0
63200314501678983876055502737,1
21297815581390356289393454960,0
25654802491626038109103689787,1
63934250438845119324488014891,0
37197384351209048671446123751,1
22186196666705389602859951073,0
58725814205691132825461198989,1
38224367901729822952604021664,0
547976141947029950782375609,1
88110702740932424704256136252,0
23139977186375659401564834899,1
42693072878811401333420604131,0
98065679700428615476546031621,1
86095267780082076318468509157,0
28296644943582674534278380959,1
40051869012221425476859733846,0
91380962405173034710519549513,1
6107476533566198018189663618,0
53282829300511616324958692653,1
3763870535495970487371132096,0
59244305563515764849247909751,1
64199782472556181396946481848,0
47975480810505380739574472957,1
57214240475819048327453345583,0
15168569483998329813721307827,1
48048810550478541329047607963,0
93096827322937146277951725337,1
63621542288689606639115215572,0
23596193907656961825014447573,1
51819278523362178532598209821,0
69878123168353039649243381087,1
71632685588575392701210687499,0
82601105398855165549277955883,1
50078286257805919752999718738,0
22488482627576515928217946313,1
59563805878614149266068743114,0
